epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3832.23,1.47971,1.18565,1.15395,0.50018,0.40564,0.41057,0.24698,1.34915,1.04236,1.09785,0.00900844,0.00900844,0.00900844
43,3922.53,1.49332,1.19696,1.1515,0.5049,0.41084,0.41783,0.25143,1.34786,1.03269,1.09828,0.00896127,0.00896127,0.00896127
44,4012.14,1.48271,1.17871,1.1521,0.50591,0.40648,0.41647,0.25126,1.34822,1.03094,1.09619,0.00891313,0.00891313,0.00891313
45,4101.82,1.48394,1.18601,1.15304,0.50642,0.41357,0.42203,0.2545,1.34271,1.02814,1.09401,0.00886404,0.00886404,0.00886404
46,4191.61,1.4777,1.17531,1.15176,0.49812,0.41539,0.41994,0.25196,1.34121,1.02719,1.09151,0.00881401,0.00881401,0.00881401
47,4280.68,1.47715,1.17119,1.14994,0.50209,0.41698,0.42488,0.25596,1.33958,1.02291,1.08984,0.00876305,0.00876305,0.00876305
48,4370.38,1.46223,1.16725,1.15497,0.50568,0.41858,0.42687,0.25756,1.33633,1.01575,1.09064,0.00871117,0.00871117,0.00871117
49,4459.95,1.46338,1.15734,1.14517,0.50693,0.42011,0.42737,0.25847,1.33423,1.01547,1.08766,0.00865839,0.00865839,0.00865839
50,4550.63,1.46768,1.15602,1.14241,0.51783,0.41273,0.4258,0.25839,1.33284,1.0138,1.08714,0.00860473,0.00860473,0.00860473
51,4640.61,1.45813,1.14497,1.13986,0.51699,0.42036,0.43153,0.26096,1.32947,1.01148,1.0858,0.00855018,0.00855018,0.00855018
52,4730.64,1.46595,1.15576,1.14734,0.51529,0.41982,0.43117,0.26135,1.33002,1.00866,1.08608,0.00849477,0.00849477,0.00849477
