epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,798.398,2.62753,1.95095,1.38042,0.36405,0.27787,0.20055,0.05945,2.53326,1.9055,1.46632,0.00896127,0.00896127,0.00896127
44,816.342,2.59694,1.95591,1.36816,0.342,0.25783,0.19008,0.05631,2.51626,1.92902,1.47303,0.00891313,0.00891313,0.00891313
45,834.316,2.59084,1.99111,1.37856,0.35936,0.27949,0.20132,0.05797,2.52015,1.98234,1.45569,0.00886404,0.00886404,0.00886404
46,852.467,2.58621,1.94762,1.39171,0.38311,0.28998,0.22291,0.06559,2.46276,1.85467,1.42687,0.00881401,0.00881401,0.00881401
47,870.612,2.60912,1.92562,1.38768,0.3586,0.28329,0.20176,0.05853,2.52725,1.94928,1.4603,0.00876305,0.00876305,0.00876305
48,888.723,2.59903,2.00625,1.39411,0.37737,0.29559,0.21729,0.06248,2.47538,2.08494,1.44726,0.00871117,0.00871117,0.00871117
49,906.381,2.60466,1.95794,1.3687,0.39349,0.28314,0.2303,0.06863,2.50534,1.80928,1.47437,0.00865839,0.00865839,0.00865839
50,924.801,2.58382,1.91654,1.38544,0.36589,0.29344,0.2082,0.06042,2.49485,1.88816,1.46015,0.00860473,0.00860473,0.00860473
51,942.714,2.55301,1.85623,1.35115,0.37132,0.2647,0.22161,0.06731,2.47981,1.83034,1.46426,0.00855018,0.00855018,0.00855018
52,961.078,2.5796,1.91525,1.36584,0.31815,0.2857,0.18913,0.05526,2.54306,1.95115,1.45503,0.00849477,0.00849477,0.00849477
53,979.18,2.56204,1.86694,1.3422,0.35588,0.28411,0.22214,0.06438,2.52966,1.83222,1.46217,0.00843851,0.00843851,0.00843851
54,997.398,2.60789,1.86987,1.35092,0.38447,0.30626,0.23837,0.07176,2.44111,1.99801,1.44733,0.00838141,0.00838141,0.00838141
55,1015.4,2.58656,1.90391,1.39356,0.41553,0.30733,0.24902,0.07125,2.4577,1.83067,1.43939,0.00832349,0.00832349,0.00832349
56,1033.29,2.51758,1.84601,1.33263,0.39109,0.29853,0.2417,0.07248,2.46736,1.81014,1.44833,0.00826477,0.00826477,0.00826477
57,1051.22,2.54794,1.86567,1.33889,0.39068,0.28062,0.23734,0.07106,2.50111,1.79919,1.44583,0.00820525,0.00820525,0.00820525
58,1068.91,2.54617,1.85432,1.35457,0.39806,0.30452,0.24183,0.07139,2.44168,1.80627,1.43358,0.00814495,0.00814495,0.00814495
59,1087.58,2.55118,1.88251,1.3593,0.37294,0.28018,0.22849,0.06867,2.51402,1.89644,1.43101,0.00808389,0.00808389,0.00808389
60,1105.64,2.55019,1.86429,1.36213,0.38606,0.28929,0.23419,0.06916,2.51633,1.85101,1.44211,0.00802208,0.00802208,0.00802208
61,1123.53,2.54072,1.81109,1.33591,0.3822,0.28919,0.2352,0.07184,2.49715,1.84582,1.41555,0.00795954,0.00795954,0.00795954
