epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8115.74,2.14922,1.44257,1.11732,0.5916,0.35,0.35761,0.16057,1.96309,1.30494,1.08226,0.00900844,0.00900844,0.00900844
43,8300.08,2.14905,1.44822,1.11161,0.61041,0.34695,0.35381,0.15703,1.96203,1.30342,1.08185,0.00896127,0.00896127,0.00896127
44,8483.96,2.13689,1.42212,1.10716,0.60064,0.35251,0.35607,0.15749,1.95716,1.29301,1.08045,0.00891313,0.00891313,0.00891313
45,8669.47,2.13536,1.41183,1.10431,0.59801,0.34639,0.34946,0.15537,1.95627,1.29554,1.07887,0.00886404,0.00886404,0.00886404
46,8853.1,2.12446,1.39127,1.10184,0.60318,0.34839,0.35509,0.15698,1.95585,1.28396,1.07797,0.00881401,0.00881401,0.00881401
47,9037.81,2.1237,1.40324,1.09983,0.57945,0.35462,0.35495,0.15658,1.95313,1.27868,1.07708,0.00876305,0.00876305,0.00876305
48,9409.05,2.13793,1.40893,1.11023,0.58202,0.35945,0.35883,0.159,1.95041,1.27451,1.07635,0.00871117,0.00871117,0.00871117
49,9592.47,2.13139,1.39968,1.10466,0.70508,0.359,0.35821,0.15894,1.94897,1.26917,1.07584,0.00865839,0.00865839,0.00865839
50,9775.63,2.12167,1.3967,1.10563,0.73192,0.35542,0.36596,0.16288,1.95025,1.26803,1.0751,0.00860473,0.00860473,0.00860473
51,9958.65,2.11816,1.38417,1.09829,0.71411,0.35881,0.3636,0.16338,1.9461,1.26985,1.0737,0.00855018,0.00855018,0.00855018
52,10142.1,2.11786,1.37401,1.10197,0.7199,0.36235,0.36657,0.16423,1.94632,1.26405,1.07357,0.00849477,0.00849477,0.00849477
53,10325.9,2.12666,1.39885,1.10646,0.71628,0.36028,0.36662,0.16359,1.94467,1.2596,1.07269,0.00843851,0.00843851,0.00843851
54,10510.1,2.12044,1.38826,1.10392,0.73049,0.35664,0.37738,0.16746,1.94156,1.25932,1.07162,0.00838141,0.00838141,0.00838141
55,10793.3,2.11522,1.37014,1.09768,0.72091,0.35863,0.37879,0.16758,1.9395,1.2564,1.07075,0.00832349,0.00832349,0.00832349
56,10975.7,2.11679,1.35711,1.09389,0.72905,0.35367,0.37187,0.1656,1.93801,1.2553,1.07029,0.00826477,0.00826477,0.00826477
57,11158.6,2.10294,1.36356,1.09275,0.73379,0.35741,0.37768,0.16818,1.93654,1.2536,1.06945,0.00820525,0.00820525,0.00820525
58,11551.8,2.11326,1.35988,1.09723,0.73088,0.36039,0.37895,0.16989,1.93487,1.24789,1.06923,0.00814495,0.00814495,0.00814495
59,11733.9,2.10136,1.35946,1.09663,0.72866,0.36536,0.38495,0.17169,1.93454,1.2422,1.06926,0.00808389,0.00808389,0.00808389
60,11916.1,2.09978,1.35068,1.09112,0.72512,0.36942,0.38462,0.17198,1.93489,1.24214,1.06874,0.00802208,0.00802208,0.00802208
61,12099.5,2.09989,1.342,1.09177,0.73645,0.36806,0.38401,0.17138,1.9339,1.24041,1.06815,0.00795954,0.00795954,0.00795954
62,12283.7,2.10292,1.36034,1.08696,0.73614,0.36755,0.38339,0.17137,1.9321,1.23883,1.06785,0.00789628,0.00789628,0.00789628
63,12467.5,2.08568,1.34367,1.09152,0.73604,0.36527,0.38635,0.17267,1.92979,1.23908,1.06707,0.00783231,0.00783231,0.00783231
64,12651.3,2.10129,1.33035,1.08997,0.73346,0.37102,0.38919,0.17439,1.92855,1.23802,1.06672,0.00776766,0.00776766,0.00776766
65,12834.6,2.07908,1.31915,1.0864,0.73006,0.37085,0.39051,0.17478,1.9273,1.2363,1.06632,0.00770234,0.00770234,0.00770234
66,13016.8,2.08717,1.33167,1.08695,0.72029,0.37467,0.39332,0.17593,1.92645,1.23368,1.06606,0.00763637,0.00763637,0.00763637
67,13295,2.09908,1.34037,1.08872,0.72524,0.37728,0.39487,0.17602,1.92614,1.23125,1.06569,0.00756976,0.00756976,0.00756976
68,13478.9,2.09138,1.34604,1.08938,0.72717,0.3799,0.39788,0.17712,1.92484,1.22966,1.06531,0.00750252,0.00750252,0.00750252
69,13661.2,2.08738,1.32733,1.09098,0.73063,0.38046,0.39949,0.17747,1.92326,1.22678,1.06479,0.00743468,0.00743468,0.00743468
70,13844.4,2.08842,1.32955,1.08587,0.73766,0.3776,0.401,0.17707,1.92251,1.22388,1.06447,0.00736625,0.00736625,0.00736625
71,14027.7,2.09078,1.32379,1.08622,0.73387,0.37978,0.40165,0.1783,1.92161,1.22197,1.06414,0.00729725,0.00729725,0.00729725
72,14210,2.08541,1.31526,1.08028,0.74057,0.37833,0.403,0.1791,1.92052,1.21978,1.06379,0.0072277,0.0072277,0.0072277
73,14393.7,2.07431,1.30443,1.09047,0.74439,0.37774,0.40167,0.17922,1.91951,1.21765,1.06321,0.00715761,0.00715761,0.00715761
74,14578.3,2.07924,1.30252,1.08341,0.74135,0.37952,0.4009,0.17947,1.91926,1.21593,1.06298,0.007087,0.007087,0.007087
75,14759.9,2.07071,1.30917,1.08696,0.74737,0.3775,0.40145,0.17932,1.91862,1.2144,1.0627,0.00701588,0.00701588,0.00701588
76,14942.2,2.06244,1.30217,1.08131,0.7489,0.37697,0.40279,0.17999,1.91763,1.21304,1.06227,0.00694428,0.00694428,0.00694428
77,15126.2,2.08697,1.32193,1.08468,0.75574,0.37513,0.40496,0.18068,1.91659,1.2113,1.06183,0.00687222,0.00687222,0.00687222
78,15309.6,2.06805,1.29099,1.0802,0.75243,0.37703,0.4071,0.18203,1.91568,1.20986,1.0616,0.0067997,0.0067997,0.0067997
79,15492.2,2.06872,1.28407,1.07833,0.75042,0.37836,0.40851,0.18297,1.91475,1.20828,1.06134,0.00672675,0.00672675,0.00672675
80,15676.5,2.08127,1.29542,1.08484,0.75012,0.38064,0.40916,0.18311,1.91394,1.20734,1.06105,0.00665339,0.00665339,0.00665339
81,15859.7,2.07473,1.31264,1.08245,0.7493,0.38078,0.41133,0.18408,1.9132,1.20556,1.06074,0.00657963,0.00657963,0.00657963
82,16044.2,2.06756,1.29534,1.08308,0.74728,0.38025,0.40921,0.18482,1.91242,1.20452,1.06043,0.0065055,0.0065055,0.0065055
83,16346,2.05641,1.29079,1.07634,0.75402,0.37839,0.40982,0.18468,1.91173,1.20347,1.06013,0.00643101,0.00643101,0.00643101
84,16529.7,2.06497,1.29312,1.07963,0.62672,0.38207,0.41344,0.18498,1.91104,1.20232,1.05976,0.00635617,0.00635617,0.00635617
